timestep_sec,station_id,station_edge,charging_capacity,waiting_capacity,vehicles_charging,vehicles_waiting,charging_vehicle_ids,waiting_vehicle_ids,charging_times_sec,waiting_times_sec,total_power_load_kW,charging_utilization_percent,waiting_utilization_percent,available_charging_slots,available_waiting_slots
6.0,pa_6,E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
6.0,pa_6_rev,NEG_E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
6.0,pa_7,E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
6.0,pa_7_rev,NEG_E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
6.0,pa_8,E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
6.0,pa_8_rev,NEG_E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
7.0,pa_2,E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
7.0,pa_2_rev,NEG_E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
7.0,pa_3,E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
7.0,pa_3_rev,NEG_E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
7.0,pa_6,E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
7.0,pa_6_rev,NEG_E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
7.0,pa_7,E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
7.0,pa_7_rev,NEG_E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
7.0,pa_8,E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
7.0,pa_8_rev,NEG_E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
8.0,pa_2,E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
8.0,pa_2_rev,NEG_E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
8.0,pa_3,E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
8.0,pa_3_rev,NEG_E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
8.0,pa_6,E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
8.0,pa_6_rev,NEG_E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
8.0,pa_7,E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
8.0,pa_7_rev,NEG_E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
8.0,pa_8,E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
8.0,pa_8_rev,NEG_E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
9.0,pa_2,E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
9.0,pa_2_rev,NEG_E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
9.0,pa_3,E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
9.0,pa_3_rev,NEG_E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
9.0,pa_6,E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
9.0,pa_6_rev,NEG_E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
9.0,pa_7,E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
9.0,pa_7_rev,NEG_E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
9.0,pa_8,E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
9.0,pa_8_rev,NEG_E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
10.0,pa_2,E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
10.0,pa_2_rev,NEG_E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
10.0,pa_3,E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
10.0,pa_3_rev,NEG_E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
10.0,pa_6,E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
10.0,pa_6_rev,NEG_E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
10.0,pa_7,E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
10.0,pa_7_rev,NEG_E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
10.0,pa_8,E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
10.0,pa_8_rev,NEG_E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
11.0,pa_2,E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
11.0,pa_2_rev,NEG_E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
11.0,pa_3,E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
11.0,pa_3_rev,NEG_E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
11.0,pa_6,E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
11.0,pa_6_rev,NEG_E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
11.0,pa_7,E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
11.0,pa_7_rev,NEG_E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
11.0,pa_8,E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
11.0,pa_8_rev,NEG_E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
12.0,pa_2,E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
12.0,pa_2_rev,NEG_E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
12.0,pa_3,E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
12.0,pa_3_rev,NEG_E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
12.0,pa_6,E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
12.0,pa_6_rev,NEG_E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
12.0,pa_7,E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
12.0,pa_7_rev,NEG_E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
12.0,pa_8,E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
12.0,pa_8_rev,NEG_E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
13.0,pa_2,E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
13.0,pa_2_rev,NEG_E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
13.0,pa_3,E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
13.0,pa_3_rev,NEG_E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
13.0,pa_6,E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
13.0,pa_6_rev,NEG_E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
13.0,pa_7,E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
13.0,pa_7_rev,NEG_E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
13.0,pa_8,E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
13.0,pa_8_rev,NEG_E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
14.0,pa_2,E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
14.0,pa_2_rev,NEG_E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
14.0,pa_3,E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
14.0,pa_3_rev,NEG_E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
14.0,pa_6,E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
14.0,pa_6_rev,NEG_E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
14.0,pa_7,E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
14.0,pa_7_rev,NEG_E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
14.0,pa_8,E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
14.0,pa_8_rev,NEG_E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
15.0,pa_2,E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
15.0,pa_2_rev,NEG_E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
15.0,pa_3,E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
15.0,pa_3_rev,NEG_E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
15.0,pa_6,E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
15.0,pa_6_rev,NEG_E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
15.0,pa_7,E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
15.0,pa_7_rev,NEG_E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
15.0,pa_8,E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
15.0,pa_8_rev,NEG_E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
16.0,pa_2,E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
16.0,pa_2_rev,NEG_E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
16.0,pa_3,E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
16.0,pa_3_rev,NEG_E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
16.0,pa_6,E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
16.0,pa_6_rev,NEG_E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
16.0,pa_7,E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
16.0,pa_7_rev,NEG_E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
16.0,pa_8,E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
16.0,pa_8_rev,NEG_E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
17.0,pa_2,E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
17.0,pa_2_rev,NEG_E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
17.0,pa_3,E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
17.0,pa_3_rev,NEG_E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
17.0,pa_6,E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
17.0,pa_6_rev,NEG_E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
17.0,pa_7,E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
17.0,pa_7_rev,NEG_E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
17.0,pa_8,E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
17.0,pa_8_rev,NEG_E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
18.0,pa_2,E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
18.0,pa_2_rev,NEG_E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
18.0,pa_3,E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
18.0,pa_3_rev,NEG_E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
18.0,pa_6,E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
18.0,pa_6_rev,NEG_E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
18.0,pa_7,E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
18.0,pa_7_rev,NEG_E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
18.0,pa_8,E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
18.0,pa_8_rev,NEG_E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
19.0,pa_2,E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
19.0,pa_2_rev,NEG_E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
19.0,pa_3,E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
19.0,pa_3_rev,NEG_E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
19.0,pa_6,E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
19.0,pa_6_rev,NEG_E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
19.0,pa_7,E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
19.0,pa_7_rev,NEG_E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
19.0,pa_8,E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
19.0,pa_8_rev,NEG_E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
20.0,pa_2,E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
20.0,pa_2_rev,NEG_E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
20.0,pa_3,E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
20.0,pa_3_rev,NEG_E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
20.0,pa_6,E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
20.0,pa_6_rev,NEG_E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
20.0,pa_7,E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
20.0,pa_7_rev,NEG_E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
20.0,pa_8,E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
20.0,pa_8_rev,NEG_E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
21.0,pa_2,E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
21.0,pa_2_rev,NEG_E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
21.0,pa_3,E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
21.0,pa_3_rev,NEG_E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
21.0,pa_6,E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
21.0,pa_6_rev,NEG_E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
21.0,pa_7,E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
21.0,pa_7_rev,NEG_E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
21.0,pa_8,E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
21.0,pa_8_rev,NEG_E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
22.0,pa_2,E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
22.0,pa_2_rev,NEG_E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
22.0,pa_3,E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
22.0,pa_3_rev,NEG_E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
22.0,pa_6,E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
22.0,pa_6_rev,NEG_E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
22.0,pa_7,E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
22.0,pa_7_rev,NEG_E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
22.0,pa_8,E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
22.0,pa_8_rev,NEG_E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
23.0,pa_2,E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
23.0,pa_2_rev,NEG_E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
23.0,pa_3,E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
23.0,pa_3_rev,NEG_E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
23.0,pa_6,E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
23.0,pa_6_rev,NEG_E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
23.0,pa_7,E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
23.0,pa_7_rev,NEG_E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
23.0,pa_8,E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
23.0,pa_8_rev,NEG_E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
24.0,pa_2,E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
24.0,pa_2_rev,NEG_E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
24.0,pa_3,E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
24.0,pa_3_rev,NEG_E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
24.0,pa_6,E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
24.0,pa_6_rev,NEG_E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
24.0,pa_7,E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
24.0,pa_7_rev,NEG_E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
24.0,pa_8,E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
24.0,pa_8_rev,NEG_E7,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
25.0,pa_2,E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
25.0,pa_2_rev,NEG_E0,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
25.0,pa_3,E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
25.0,pa_3_rev,NEG_E1,4,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,3
25.0,pa_6,E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
25.0,pa_6_rev,NEG_E5,5,3,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,5,3
25.0,pa_7,E6,4,2,0,0,NONE,NONE,NONE,NONE,0.0,0.0,0.0,4,2
